"SUID","interaction","name","selected","shared interaction","shared name"
"5106","child_of","","false","child_of",""
"8001","linked_to","","false","linked_to",""
"5583","child_of","","false","child_of",""
"6333","child_of","","false","child_of",""
"8211","child_of","","false","child_of",""
"6289","child_of","","false","child_of",""
"5261","child_of","","false","child_of",""
"7109","child_of","","false","child_of",""
"7860","child_of","","false","child_of",""
"9403","child_of","","false","child_of",""
"9347","child_of","","false","child_of",""
"7317","child_of","","false","child_of",""
"7746","child_of","","false","child_of",""
"5510","child_of","","false","child_of",""
"8755","linked_to","","false","linked_to",""
"5430","linked_to","","false","linked_to",""
"7215","child_of","","false","child_of",""
"5854","child_of","","false","child_of",""
"6068","linked_to","","false","linked_to",""
"6575","child_of","","false","child_of",""
"6614","child_of","","false","child_of",""
"9030","child_of","","false","child_of",""
"8871","child_of","","false","child_of",""
"8136","linked_to","","false","linked_to",""
"6174","child_of","","false","child_of",""
"7987","child_of","","false","child_of",""
"9676","child_of","","false","child_of",""
"6808","child_of","","false","child_of",""
"6736","child_of","","false","child_of",""
"9198","child_of","","false","child_of",""
"5487","child_of","","false","child_of",""
"6250","linked_to","","false","linked_to",""
"9886","child_of","","false","child_of",""
"7978","child_of","","false","child_of",""
"6797","child_of","","false","child_of",""
"9914","child_of","","false","child_of",""
"9357","child_of","","false","child_of",""
"9114","child_of","","false","child_of",""
"8483","linked_to","","false","linked_to",""
"5239","child_of","","false","child_of",""
"9499","child_of","","false","child_of",""
"5816","child_of","","false","child_of",""
"8928","linked_to","","false","linked_to",""
"4301","child_of","","false","child_of",""
"8908","linked_to","","false","linked_to",""
"9698","child_of","","false","child_of",""
"8805","child_of","","false","child_of",""
"7198","linked_to","","false","linked_to",""
"7888","linked_to","","false","linked_to",""
"5492","child_of","","false","child_of",""
"5702","child_of","","false","child_of",""
"6490","child_of","","false","child_of",""
"7127","child_of","","false","child_of",""
"9709","child_of","","false","child_of",""
"8464","child_of","","false","child_of",""
"4987","child_of","","false","child_of",""
"5401","child_of","","false","child_of",""
"6063","child_of","","false","child_of",""
"6096","child_of","","false","child_of",""
"6677","child_of","","false","child_of",""
"7670","linked_to","","false","linked_to",""
"6153","linked_to","","false","linked_to",""
"9294","child_of","","false","child_of",""
"8095","child_of","","false","child_of",""
"4315","child_of","","false","child_of",""
"8992","child_of","","false","child_of",""
"7577","child_of","","false","child_of",""
"9223","child_of","","false","child_of",""
"8508","linked_to","","false","linked_to",""
"6683","linked_to","","false","linked_to",""
"4524","linked_to","","false","linked_to",""
"7192","linked_to","","false","linked_to",""
"8721","child_of","","false","child_of",""
"4413","child_of","","false","child_of",""
"4717","linked_to","","false","linked_to",""
"6690","child_of","","false","child_of",""
"7142","child_of","","false","child_of",""
"5466","linked_to","","false","linked_to",""
"6620","child_of","","false","child_of",""
"8192","child_of","","false","child_of",""
"5681","child_of","","false","child_of",""
"8042","linked_to","","false","linked_to",""
"5367","child_of","","false","child_of",""
"9532","linked_to","","false","linked_to",""
"6581","child_of","","false","child_of",""
"5325","child_of","","false","child_of",""
"9065","linked_to","","false","linked_to",""
"8742","child_of","","false","child_of",""
"9136","child_of","","false","child_of",""
"5030","child_of","","false","child_of",""
"9818","linked_to","","false","linked_to",""
"8913","child_of","","false","child_of",""
"5604","child_of","","false","child_of",""
"4221","child_of","","false","child_of",""
"6918","child_of","","false","child_of",""
"4837","child_of","","false","child_of",""
"6815","linked_to","","false","linked_to",""
"6230","child_of","","false","child_of",""
"6476","child_of","","false","child_of",""
"6551","child_of","","false","child_of",""
"4857","child_of","","false","child_of",""
"7021","child_of","","false","child_of",""
"6152","linked_to","","false","linked_to",""
"5271","linked_to","","false","linked_to",""
"4487","child_of","","false","child_of",""
"5272","linked_to","","false","linked_to",""
"4192","child_of","","false","child_of",""
"7810","linked_to","","false","linked_to",""
"8546","child_of","","false","child_of",""
"8964","linked_to","","false","linked_to",""
"5244","child_of","","false","child_of",""
"9011","linked_to","","false","linked_to",""
"5994","child_of","","false","child_of",""
"6194","child_of","","false","child_of",""
"5868","child_of","","false","child_of",""
"9299","linked_to","","false","linked_to",""
"6965","child_of","","false","child_of",""
"9037","child_of","","false","child_of",""
"9670","linked_to","","false","linked_to",""
"9510","child_of","","false","child_of",""
"4691","linked_to","","false","linked_to",""
"6635","child_of","","false","child_of",""
"8700","child_of","","false","child_of",""
"9605","child_of","","false","child_of",""
