start	end	type
3352	1472	child_of
3763	3864	child_of
3763	3352	linked_to
201	1144	child_of
1296	1101	child_of
581	2833	child_of
581	645	linked_to
581	2518	linked_to
2323	847	child_of
2323	2518	linked_to
2323	2833	linked_to
1937	2772	child_of
3880	2652	child_of
442	1665	child_of
60	797	child_of
3744	1693	child_of
1693	299	child_of
2226	3735	child_of
643	3493	child_of
1745	1997	child_of
341	2571	child_of
4055	3814	child_of
3388	3481	child_of
3388	3681	linked_to
3120	1618	child_of
2191	3642	child_of
2191	1719	linked_to
2016	3100	child_of
2016	913	linked_to
1084	2133	child_of
674	2808	child_of
948	2808	child_of
1538	2141	child_of
1688	2133	child_of
2058	2707	child_of
2058	1671	linked_to
2058	2061	linked_to
2058	1111	linked_to
2461	2632	child_of
4038	1250	child_of
466	2746	child_of
779	784	child_of
779	930	linked_to
779	3674	linked_to
682	2461	child_of
2137	1695	child_of
2302	842	child_of
2302	2254	linked_to
2302	3951	linked_to
2302	3277	linked_to
2302	571	linked_to
2302	1869	linked_to
2302	3024	linked_to
1885	404	child_of
3900	3464	child_of
2525	2134	child_of
3870	15	child_of
3870	147	linked_to
1158	2375	child_of
2062	1084	child_of
558	3711	child_of
1148	64	child_of
3780	115	child_of
7	3689	child_of
7	1182	linked_to
4024	3290	child_of
4024	2262	linked_to
3431	969	child_of
2992	2936	child_of
2992	1861	linked_to
1857	682	child_of
1857	2362	linked_to
1857	925	linked_to
1751	3772	child_of
1177	1835	child_of
762	1041	child_of
762	666	linked_to
762	3708	linked_to
762	3593	linked_to
762	1507	linked_to
690	1380	child_of
690	1058	linked_to
690	3085	linked_to
690	992	linked_to
690	2324	linked_to
690	925	linked_to
1484	1862	child_of
2040	3586	child_of
2519	3227	child_of
2384	260	child_of
3175	771	child_of
3745	2928	child_of
2	3105	child_of
1102	3638	child_of
780	2753	child_of
2127	2226	child_of
1351	643	child_of
3624	2192	child_of
2823	4001	child_of
407	2830	child_of
3715	4044	child_of
1889	393	child_of
2529	1378	child_of
640	1489	child_of
912	2123	child_of
3922	1579	child_of
3806	2952	child_of
2999	3721	child_of
2999	2102	linked_to
3436	3757	child_of
3436	40	linked_to
2322	31	child_of
1893	3061	child_of
1294	3448	child_of
700	823	child_of
1048	1676	child_of
1048	2730	linked_to
1048	979	linked_to
1726	204	child_of
1976	78	child_of
2947	4043	child_of
3357	211	child_of
3357	1876	linked_to
4015	1910	child_of
70	1733	child_of
650	1293	child_of
1662	3896	child_of
1043	2531	child_of
1043	1259	linked_to
2418	3189	child_of
2418	3006	linked_to
2031	1468	child_of
2031	133	linked_to
2031	1206	linked_to
2031	3053	linked_to
2031	1794	linked_to
71	4033	child_of
3082	190	child_of
3082	2032	linked_to
859	3487	child_of
416	836	child_of
2459	95	child_of
2507	3064	child_of
2507	1197	linked_to
1167	3593	child_of
1167	2642	linked_to
1167	745	linked_to
1167	2754	linked_to
1167	3327	linked_to
1167	1355	linked_to
1167	1537	linked_to
1167	564	linked_to
1167	3990	linked_to
1167	780	linked_to
1167	3146	linked_to
1167	1803	linked_to
1167	1041	linked_to
1620	2990	child_of
970	3043	child_of
155	3850	child_of
3273	2160	child_of
3686	2581	child_of
3026	2609	child_of
2160	2108	child_of
1818	1382	child_of
1300	3713	child_of
1045	2728	child_of
1783	2559	child_of
2124	1783	child_of
3595	1790	child_of
3595	574	linked_to
3595	1160	linked_to
3426	220	child_of
4113	1872	child_of
403	811	child_of
403	784	linked_to
403	3593	linked_to
403	2786	linked_to
570	2069	child_of
570	1809	linked_to
1547	258	child_of
1039	3948	child_of
2709	1075	child_of
2153	3952	child_of
2153	863	linked_to
2153	1139	linked_to
3860	3374	child_of
3860	3861	linked_to
3494	843	child_of
979	516	child_of
434	1408	child_of
434	2302	linked_to
1963	146	child_of
1963	3044	linked_to
2409	2693	child_of
720	596	child_of
1226	2051	child_of
34	2136	child_of
34	4004	linked_to
596	2274	child_of
3168	552	child_of
3781	2605	child_of
2388	3805	child_of
2024	576	child_of
1441	2202	child_of
576	2625	child_of
560	2920	child_of
560	1559	linked_to
1319	1835	child_of
3620	1884	child_of
3144	2630	child_of
2428	3371	child_of
2860	2525	child_of
3445	1398	child_of
3993	150	child_of
1420	394	child_of
1766	349	child_of
1155	3397	child_of
1683	2032	child_of
1683	190	linked_to
3798	2467	child_of
3798	1083	linked_to
3098	1044	child_of
