NeXO Term	SGD Gene ID
8803	S000000143
8499	S000000143
9365	S000000143
8473	S000000143
9306	S000000143
9920	S000000143
9540	S000000143
6919	S000000143
9079	S000000143
8119	S000000143
9475	S000000143
7243	S000000143
5402	S000000144
5258	S000000145
5402	S000000145
8941	S000000146
9592	S000000146
8841	S000000146
9568	S000000146
8073	S000000146
8426	S000000146
9338	S000000146
8780	S000000146
9046	S000000146
8226	S000000146
9496	S000000146
9071	S000000146
9650	S000000146
9651	S000000146
9365	S000000147
9540	S000000147
7275	S000000147
6557	S000000147
9776	S000000148
7772	S000000148
8079	S000000148
9676	S000000148
7983	S000000151
8442	S000000151
6289	S000000151
5302	S000000151
9780	S000000151
7876	S000000151
6813	S000000152
8023	S000000152
7091	S000000152
5590	S000000152
8342	S000000152
9193	S000000153
7808	S000000153
6290	S000000153
7868	S000000154
9211	S000000154
10019	S000000154
8341	S000000154
9668	S000000154
7247	S000000154
6042	S000000155
6340	S000000156
8867	S000000156
7089	S000000156
7665	S000000157
9344	S000000157
8700	S000000157
9366	S000000157
9365	S000000157
8727	S000000157
7701	S000000157
9427	S000000157
9338	S000000157
9076	S000000157
9470	S000000157
9475	S000000157
9304	S000000157
9265	S000000157
5630	S000000157
7665	S000000158
9344	S000000158
8700	S000000158
9366	S000000158
9365	S000000158
8727	S000000158
9306	S000000158
7701	S000000158
9427	S000000158
5961	S000000158
9338	S000000158
7928	S000000158
7898	S000000158
9076	S000000158
9079	S000000158
9470	S000000158
9475	S000000158
9304	S000000158
6822	S000000158
9265	S000000158
7469	S000000158
6817	S000000159
9668	S000000159
8791	S000000159
5611	S000000160
7434	S000000162
6324	S000000162
9064	S000000162
8069	S000000163
9338	S000000163
8628	S000000163
6894	S000000163
7844	S000000164
6258	S000000165
8140	S000000167
6746	S000000167
6107	S000000167
9519	S000000168
9816	S000000168
9538	S000000168
9533	S000000168
9524	S000000168
9503	S000000168
9500	S000000168
9505	S000000168
8854	S000000168
8459	S000000168
9561	S000000168
9564	S000000168
9920	S000000168
9550	S000000168
9535	S000000168
9051	S000000168
8782	S000000168
7613	S000000168
8221	S000000168
9238	S000000168
9587	S000000168
6262	S000000168
9060	S000000168
9615	S000000168
8773	S000000168
8949	S000000170
7552	S000000170
9597	S000000170
7789	S000000170
7963	S000000171
8909	S000000171
9318	S000000171
8957	S000000171
6220	S000000172
9651	S000000172
8956	S000000172
8011	S000000174
9568	S000000174
9149	S000000174
9030	S000000174
7759	S000000174
8226	S000000174
8190	S000000174
6333	S000000174
8341	S000000174
9650	S000000174
7658	S000000174
8803	S000000175
9430	S000000175
8535	S000000175
8330	S000000175
8534	S000000175
8376	S000000175
9092	S000000175
9347	S000000178
9306	S000000178
8910	S000000178
9204	S000000178
6627	S000000178
7221	S000000178
8962	S000000178
9347	S000000179
9306	S000000179
8910	S000000179
9204	S000000179
6627	S000000179
7221	S000000179
8962	S000000179
7877	S000000179
8301	S000000180
5452	S000000180
8525	S000000180
5672	S000000180
9607	S000000180
9213	S000000180
5962	S000000180
5644	S000000180
9351	S000000181
8047	S000000181
6245	S000000181
9713	S000000181
5654	S000000181
8372	S000000181
8580	S000000181
9323	S000000183
8947	S000000183
9519	S000000183
9816	S000000183
9249	S000000183
9538	S000000183
8711	S000000183
8748	S000000183
9483	S000000183
9486	S000000183
9500	S000000183
9186	S000000183
5608	S000000183
9292	S000000183
8687	S000000183
9561	S000000183
9389	S000000183
9127	S000000183
6939	S000000183
9225	S000000183
7111	S000000183
9235	S000000183
8777	S000000183
8606	S000000184
5357	S000000184
9494	S000000184
9571	S000000184
8280	S000000185
8866	S000000185
7612	S000000185
6613	S000000185
8994	S000000186
6987	S000000186
6644	S000000186
6641	S000000186
5869	S000000187
9519	S000000188
9249	S000000188
9533	S000000188
8748	S000000188
9503	S000000188
8983	S000000188
8729	S000000188
9239	S000000188
9225	S000000188
8620	S000000188
9559	S000000189
7391	S000000189
7302	S000000189
8337	S000000189
8550	S000000189
8551	S000000189
9382	S000000189
7983	S000000191
8520	S000000191
8088	S000000191
6289	S000000191
8755	S000000191
8655	S000000191
8654	S000000191
6955	S000000191
9780	S000000191
7725	S000000193
5550	S000000194
6209	S000000195
6211	S000000195
5295	S000000195
5774	S000000195
5202	S000000195
8104	S000000195
9749	S000000197
5720	S000000197
8941	S000000198
8940	S000000198
9592	S000000198
8766	S000000198
7696	S000000198
8296	S000000198
8060	S000000198
8159	S000000198
9168	S000000198
9651	S000000198
8998	S000000199
8252	S000000199
7732	S000000199
8817	S000000199
8626	S000000200
5525	S000000200
6259	S000000200
9030	S000000200
8628	S000000200
8627	S000000200
8711	S000000201
8475	S000000201
9427	S000000201
6263	S000000201
7853	S000000201
9077	S000000201
7388	S000000201
6327	S000000201
7622	S000000201
8372	S000000201
9470	S000000201
9304	S000000201
9524	S000000205
5620	S000000205
7155	S000000205
7081	S000000205
5772	S000000206
9105	S000000207
5156	S000000207
9749	S000000209
6289	S000000209
9780	S000000209
5551	S000000210
6247	S000000211
6248	S000000211
5568	S000000212
9475	S000000212
9382	S000000212
7267	S000000213
9592	S000000213
9816	S000000213
8500	S000000213
8387	S000000213
7598	S000000213
9508	S000000213
9430	S000000213
8746	S000000213
9292	S000000213
9199	S000000213
9776	S000000213
6251	S000000213
9920	S000000213
9550	S000000213
7572	S000000213
8242	S000000213
8507	S000000213
8924	S000000213
