S000003557	YJL020C	BBC1	S000001490	YKL007W	CAP1
S000003874	YJR113C	RSM7	S000005885	YOR358W	HAP5
S000000728	YEL002C	WBP1	S000003627	YJL091C	GWT1
S000004116	YLR126C		S000004255	YLR265C	NEJ1
S000002687	YDR279W	RNH202	S000005016	YNL072W	RNH201
S000001199	YHR156C	LIN1	S000005835	YOR308C	SNU66
S000003105	YGL137W	SEC27	S000001487	YKL004W	AUR1
S000000282	YBR078W	ECM33	S000000610	YCR017C	CWH43
S000000397	YBR193C	MED8	S000004534	YML069W	POB3
S000000880	YER078C	ICP55	S000000980	YER178W	PDA1
S000002304	YDL145C	COP1	S000002544	YDR137W	RGP1
S000001766	YKR058W	GLG1	S000005014	YNL070W	TOM7
S000002178	YDL020C	RPN4	S000002284	YDL126C	CDC48
S000000373	YBR169C	SSE2	S000001678	YKL195W	MIA40
S000000993	YHL001W	RPL14B	S000006000	YPL079W	RPL21B
S000002618	YDR210W		S000002655	YDR247W	VHS1
S000000495	YBR291C	CTP1	S000002341	YDL182W	LYS20
S000003010	YGL042C		S000001223	YHR180W	
S000004181	YLR191W	PEX13	S000004628	YMR026C	PEX12
S000001874	YFL020C	PAU5	S000001852	YFL042C	
S000001570	YKL087C	CYT2	S000001691	YKL208W	CBT1
S000000130	YBL034C	STU1	S000000335	YBR131W	CCZ1
S000000051	YAL055W	PEX22	S000004638	YMR035W	IMP2
S000002721	YDR313C	PIB1	S000003606	YJL070C	
S000002832	YDR424C	DYN2	S000001762	YKR054C	DYN1
S000003345	YGR113W	DAM1	S000004035	YLR045C	STU2
S000003054	YGL086W	MAD1	S000004593	YML124C	TUB3
S000004012	YLR022C	SDO1	S000006347	YPR143W	RRP15
S000003636	YJL100W	LSB6	S000005618	YOR092W	ECM3
S000000420	YBR216C	YBP1	S000004466	YML007W	YAP1
S000001072	YHR030C	SLT2	S000004757	YMR149W	SWP1
S000000435	YBR231C	SWC5	S000005549	YOR023C	AHC1
S000001415	YIL153W	RRD1	S000006244	YPR040W	TIP41
S000000464	YBR260C	RGD1	S000005363	YOL003C	PFA4
S000003644	YJL108C	PRM10	S000004645	YMR042W	ARG80
S000000230	YBR026C	ETR1	S000000240	YBR036C	CSG2
S000003212	YGL243W	TAD1	S000003257	YGR025W	
S000002946	YDR538W	PAD1	S000003486	YGR254W	ENO1
S000000541	YCL036W	GFD2	S000002492	YDR085C	AFR1
S000003964	YLL041C	SDH2	S000005432	YOL071W	EMI5
S000000664	YCR068W	ATG15	S000001214	YHR171W	ATG7
S000001408	YIL146C	ATG32	S000003815	YJR054W	
S000000837	YER035W	EDC2	S000003858	YJR097W	JJJ3
S000003719	YJL183W	MNN11	S000003724	YJL188C	BUD19
S000001339	YIL077C		S000004387	YLR395C	COX8
S000003380	YGR148C	RPL24B	S000004440	YLR448W	RPL6B
S000001556	YKL073W	LHS1	S000005373	YOL013C	HRD1
S000003352	YGR120C	COG2	S000003690	YJL154C	VPS35
S000005680	YOR154W	SLP1	S000006148	YPL227C	ALG5
S000005591	YOR065W	CYT1	S000006093	YPL172C	COX10
S000005929	YPL008W	CHL1	S000006339	YPR135W	CTF4
S000006008	YPL087W	YDC1	S000006009	YPL088W	
S000002990	YGL022W	STT3	S000001461	YIR022W	SEC11
S000001296	YIL034C	CAP2	S000004190	YLR200W	YKE2
S000000640	YCR044C	PER1	S000002925	YDR517W	GRH1
S000004063	YLR073C	RFU1	S000004789	YMR177W	MMT1
S000001929	YFR033C	QCR6	S000003316	YGR084C	MRP13
S000001766	YKR058W	GLG1	S000005620	YOR094W	ARF3
S000000158	YBL062W		S000003197	YGL228W	SHE10
S000002520	YDR113C	PDS1	S000003550	YJL013C	MAD3
S000003651	YJL115W	ASF1	S000004837	YMR224C	MRE11
S000002484	YDR077W	SED1	S000002659	YDR251W	PAM1
S000003364	YGR132C	PHB1	S000005758	YOR232W	MGE1
S000001457	YIR018W	YAP5	S000004765	YMR156C	TPP1
S000002723	YDR315C	IPK1	S000004402	YLR410W	VIP1
