6992 (pp) 6989,parent_of
5108 (pp) 5097,parent_of
7638 (pp) 6451,parent_of
7069 (pp) 7052,parent_of
8598 (pp) S000002835,gene_association
8368 (pp) S000002376,gene_association
8893 (pp) S000002578,gene_association
5894 (pp) S000005092,gene_association
9914 (pp) 9756,parent_of
5323 (pp) S000004995,gene_association
6197 (pp) 5567,parent_of
9650 (pp) S000005594,gene_association
9857 (pp) 9602,parent_of
6981 (pp) S000005646,gene_association
9816 (pp) S000005013,gene_association
6037 (pp) 5669,parent_of
9555 (pp) 8844,parent_of
6054 (pp) 5945,parent_of
7386 (pp) S000003168,gene_association
8566 (pp) 7653,parent_of
5360 (pp) S000002985,gene_association
6265 (pp) S000003370,gene_association
8754 (pp) S000006354,gene_association
8575 (pp) 7801,parent_of
9520 (pp) 9375,parent_of
7185 (pp) S000000820,gene_association
5608 (pp) S000006129,gene_association
7167 (pp) 6841,parent_of
7833 (pp) S000000104,gene_association
6696 (pp) 5725,parent_of
8359 (pp) S000001422,gene_association
5069 (pp) S000004054,gene_association
9316 (pp) S000001802,gene_association
9776 (pp) S000004534,gene_association
8813 (pp) S000000030,gene_association
7144 (pp) 6551,parent_of
6395 (pp) 5171,parent_of
6042 (pp) S000000155,gene_association
6192 (pp) S000004982,gene_association
9279 (pp) 8244,parent_of
6374 (pp) 5494,parent_of
9636 (pp) 9435,parent_of
7575 (pp) 7387,parent_of
5581 (pp) 5435,parent_of
6009 (pp) S000005851,gene_association
7897 (pp) S000002561,gene_association
6469 (pp) S000004525,gene_association
8912 (pp) S000004325,gene_association
6444 (pp) S000001222,gene_association
6041 (pp) S000006308,gene_association
6726 (pp) 5830,parent_of
9931 (pp) 9790,parent_of
5932 (pp) S000003136,gene_association
6700 (pp) S000000047,gene_association
7668 (pp) S000002848,gene_association
8591 (pp) S000000834,gene_association
8651 (pp) S000006244,gene_association
5666 (pp) S000004007,gene_association
5802 (pp) 5361,parent_of
6408 (pp) S000000547,gene_association
7439 (pp) 6608,parent_of
8009 (pp) S000002308,gene_association
7986 (pp) S000002344,gene_association
6208 (pp) 5884,parent_of
9647 (pp) 9361,parent_of
7522 (pp) 6310,parent_of
8877 (pp) S000004432,gene_association
6627 (pp) S000005680,gene_association
7079 (pp) 6613,parent_of
9829 (pp) 9385,parent_of
7907 (pp) 6057,parent_of
5104 (pp) S000005467,gene_association
5855 (pp) S000004241,gene_association
9798 (pp) 9781,parent_of
9286 (pp) S000000993,gene_association
5369 (pp) S000005395,gene_association
7202 (pp) 6568,parent_of
6954 (pp) S000006311,gene_association
5459 (pp) S000003898,gene_association
9957 (pp) 8549,parent_of
7541 (pp) S000000777,gene_association
6265 (pp) 6264,parent_of
6697 (pp) S000004932,gene_association
9951 (pp) 9855,parent_of
7307 (pp) S000000127,gene_association
9376 (pp) 8830,parent_of
5989 (pp) S000005567,gene_association
7217 (pp) 6380,parent_of
8359 (pp) S000002863,gene_association
9037 (pp) S000003598,gene_association
7282 (pp) S000000344,gene_association
8260 (pp) S000000335,gene_association
6839 (pp) S000005602,gene_association
8470 (pp) S000004390,gene_association
8820 (pp) 8573,parent_of
8070 (pp) S000000134,gene_association
5590 (pp) S000004230,gene_association
9300 (pp) 8562,parent_of
9106 (pp) S000005437,gene_association
7420 (pp) 6474,parent_of
9229 (pp) S000004334,gene_association
5948 (pp) S000005135,gene_association
5793 (pp) 5700,parent_of
8393 (pp) S000004901,gene_association
7017 (pp) S000005826,gene_association
8238 (pp) 7727,parent_of
8984 (pp) 8043,parent_of
5171 (pp) S000004993,gene_association
9970 (pp) 9929,parent_of
7154 (pp) S000004766,gene_association
8267 (pp) 7697,parent_of
5157 (pp) S000003015,gene_association
5224 (pp) S000005164,gene_association
7235 (pp) 5961,parent_of
8799 (pp) 8417,parent_of
5061 (pp) S000005713,gene_association
5184 (pp) S000006325,gene_association
9563 (pp) 8625,parent_of
5492 (pp) S000000243,gene_association
9824 (pp) 9731,parent_of
8886 (pp) 8514,parent_of
8922 (pp) S000000038,gene_association
8392 (pp) S000000375,gene_association
8388 (pp) 7729,parent_of
9816 (pp) S000000235,gene_association
9690 (pp) 9370,parent_of
9905 (pp) 9758,parent_of
9096 (pp) S000000065,gene_association
5370 (pp) S000006068,gene_association
7291 (pp) S000006211,gene_association
9258 (pp) 8805,parent_of
8453 (pp) 7296,parent_of
9876 (pp) 9226,parent_of
8197 (pp) 7454,parent_of
5710 (pp) 5459,parent_of
7364 (pp) S000004619,gene_association
8758 (pp) S000003158,gene_association
6932 (pp) S000005465,gene_association
8795 (pp) 8566,parent_of
7859 (pp) 6577,parent_of
5660 (pp) S000001848,gene_association
5517 (pp) S000002909,gene_association
7861 (pp) 7734,parent_of
6159 (pp) S000002642,gene_association
6761 (pp) 5200,parent_of
8879 (pp) 8111,parent_of
5468 (pp) S000001883,gene_association
5720 (pp) S000000197,gene_association
5634 (pp) S000003201,gene_association
6331 (pp) S000004860,gene_association
9597 (pp) S000001656,gene_association
7762 (pp) S000006189,gene_association
7183 (pp) 7127,parent_of
8841 (pp) S000004460,gene_association
7732 (pp) S000000199,gene_association
6409 (pp) S000113613,gene_association
7006 (pp) S000005477,gene_association
6704 (pp) S000000461,gene_association
9759 (pp) 9666,parent_of
8939 (pp) 7544,parent_of
9008 (pp) S000004802,gene_association
7112 (pp) S000004033,gene_association
5168 (pp) S000002805,gene_association
8544 (pp) 7614,parent_of
8973 (pp) 7195,parent_of
6078 (pp) 5515,parent_of
7297 (pp) S000005070,gene_association
9122 (pp) 7119,parent_of
9827 (pp) 9634,parent_of
9496 (pp) S000005378,gene_association
9113 (pp) S000003484,gene_association
6638 (pp) S000006438,gene_association
5820 (pp) 5699,parent_of
7517 (pp) S000004509,gene_association
8078 (pp) S000001232,gene_association
5852 (pp) S000006032,gene_association
8046 (pp) 7135,parent_of
5553 (pp) S000000868,gene_association
7997 (pp) S000001359,gene_association
10014 (pp) 9833,parent_of
8826 (pp) 8137,parent_of
5806 (pp) S000001782,gene_association
6392 (pp) S000000817,gene_association
5270 (pp) S000001455,gene_association
9519 (pp) S000002295,gene_association
8598 (pp) S000005787,gene_association
6752 (pp) S000001895,gene_association
7800 (pp) S000001929,gene_association
8883 (pp) S000004914,gene_association
9571 (pp) S000000478,gene_association
7416 (pp) S000007231,gene_association
6052 (pp) 5487,parent_of
9433 (pp) 9018,parent_of
8209 (pp) 7381,parent_of
9168 (pp) S000003961,gene_association
6591 (pp) S000002453,gene_association
6118 (pp) S000003173,gene_association
7701 (pp) S000001402,gene_association
7836 (pp) 7835,parent_of
8752 (pp) S000002307,gene_association
7327 (pp) 6559,parent_of
7290 (pp) S000003045,gene_association
5538 (pp) S000000797,gene_association
9080 (pp) S000000219,gene_association
9877 (pp) 9649,parent_of
8545 (pp) 7274,parent_of
9286 (pp) 9241,parent_of
7696 (pp) S000006254,gene_association
7050 (pp) S000005326,gene_association
7353 (pp) S000003818,gene_association
8731 (pp) 8539,parent_of
9344 (pp) S000000227,gene_association
6178 (pp) 5862,parent_of
6924 (pp) S000003139,gene_association
7833 (pp) S000003901,gene_association
8369 (pp) S000002261,gene_association
8646 (pp) 8198,parent_of
9459 (pp) 8750,parent_of
9166 (pp) 8176,parent_of
9505 (pp) S000000393,gene_association
8949 (pp) S000003163,gene_association
8045 (pp) 6828,parent_of
9281 (pp) 8769,parent_of
6333 (pp) S000003579,gene_association
7273 (pp) S000003820,gene_association
8201 (pp) 7860,parent_of
7341 (pp) S000000554,gene_association
5295 (pp) S000007255,gene_association
8740 (pp) 7532,parent_of
7800 (pp) S000001451,gene_association
5665 (pp) S000004537,gene_association
6694 (pp) S000000634,gene_association
6633 (pp) S000007251,gene_association
5321 (pp) S000001553,gene_association
5868 (pp) S000000275,gene_association
5941 (pp) S000000382,gene_association
9847 (pp) 9569,parent_of
8037 (pp) S000005251,gene_association
8729 (pp) S000000188,gene_association
5953 (pp) 5952,parent_of
7952 (pp) S000006111,gene_association
6717 (pp) 6716,parent_of
7296 (pp) S000005330,gene_association
6977 (pp) S000001693,gene_association
9829 (pp) 9105,parent_of
5677 (pp) S000005380,gene_association
6515 (pp) S000003423,gene_association
