"SUID","canonicalName","Edge_conflicts","interaction","name","NeXO relation type","selected","shared interaction","shared name"
"32862","8719 (2) S000004603","","2","8719 (2) S000004603","additional_gene_association","false","2","8719 (2) S000004603"
"31394","8536 (2) S000003814","","2","8536 (2) S000003814","additional_gene_association","false","2","8536 (2) S000003814"
"14277","6062 (pp) S000003695","","pp","6062 (pp) S000003695","gene_association","false","pp","6062 (pp) S000003695"
"25104","8448 (4) S000003121","","4","8448 (4) S000003121","additional_gene_association","false","4","8448 (4) S000003121"
"25051","7987 (2) S000002538","","2","7987 (2) S000002538","additional_gene_association","false","2","7987 (2) S000002538"
"40488","5850 (2) S000002736","","2","5850 (2) S000002736","additional_gene_association","false","2","5850 (2) S000002736"
"42915","7586 (2) S000004723","","2","7586 (2) S000004723","additional_gene_association","false","2","7586 (2) S000004723"
"11474","8389 (pp) 7011","","pp","8389 (pp) 7011","parent_of","false","pp","8389 (pp) 7011"
"16587","6406 (pp) S000001854","","pp","6406 (pp) S000001854","gene_association","false","pp","6406 (pp) S000001854"
"43571","7612 (2) S000001238","","2","7612 (2) S000001238","additional_gene_association","false","2","7612 (2) S000001238"
"29030","9920 (2) S000001236","","2","9920 (2) S000001236","additional_gene_association","false","2","9920 (2) S000001236"
"25022","6315 (2) S000005199","","2","6315 (2) S000005199","additional_gene_association","false","2","6315 (2) S000005199"
"39620","9519 (4) S000004175","","4","9519 (4) S000004175","additional_gene_association","false","4","9519 (4) S000004175"
"40604","9389 (2) S000004855","","2","9389 (2) S000004855","additional_gene_association","false","2","9389 (2) S000004855"
"25422","9302 (2) S000002483","","2","9302 (2) S000002483","additional_gene_association","false","2","9302 (2) S000002483"
"31978","8754 (2) S000004804","","2","8754 (2) S000004804","additional_gene_association","false","2","8754 (2) S000004804"
"21196","8794 (4) S000006385","","4","8794 (4) S000006385","additional_gene_association","false","4","8794 (4) S000006385"
"17603","9123 (pp) 8655","","pp","9123 (pp) 8655","parent_of","false","pp","9123 (pp) 8655"
"23765","8392 (2) S000000507","","2","8392 (2) S000000507","additional_gene_association","false","2","8392 (2) S000000507"
"23427","7316 (2) S000005160","","2","7316 (2) S000005160","additional_gene_association","false","2","7316 (2) S000005160"
"32147","9657 (2) S000004235","","2","9657 (2) S000004235","additional_gene_association","false","2","9657 (2) S000004235"
"21791","9494 (4) S000002161","","4","9494 (4) S000002161","additional_gene_association","false","4","9494 (4) S000002161"
"16386","9874 (pp) 9468","perfect","pp","9874 (pp) 9468","parent_of","false","pp","9874 (pp) 9468"
"23723","8697 (2) S000003567","","2","8697 (2) S000003567","additional_gene_association","false","2","8697 (2) S000003567"
"28192","7559 (4) S000001330","","4","7559 (4) S000001330","additional_gene_association","false","4","7559 (4) S000001330"
"43096","7389 (2) S000001874","","2","7389 (2) S000001874","additional_gene_association","false","2","7389 (2) S000001874"
"18069","6064 (pp) 6063","","pp","6064 (pp) 6063","parent_of","false","pp","6064 (pp) 6063"
"30063","9003 (2) S000002552","","2","9003 (2) S000002552","additional_gene_association","false","2","9003 (2) S000002552"
"27993","9184 (2) S000002461","","2","9184 (2) S000002461","additional_gene_association","false","2","9184 (2) S000002461"
"38830","7833 (4) S000005564","","4","7833 (4) S000005564","additional_gene_association","false","4","7833 (4) S000005564"
"17212","8158 (pp) S000005540","","pp","8158 (pp) S000005540","gene_association","false","pp","8158 (pp) S000005540"
"29159","9105 (4) S000000967","","4","9105 (4) S000000967","additional_gene_association","false","4","9105 (4) S000000967"
"32083","6233 (2) S000003689","","2","6233 (2) S000003689","additional_gene_association","false","2","6233 (2) S000003689"
"26982","9676 (4) S000002598","","4","9676 (4) S000002598","additional_gene_association","false","4","9676 (4) S000002598"
"40527","6700 (2) S000003962","","2","6700 (2) S000003962","additional_gene_association","false","2","6700 (2) S000003962"
"23684","7869 (2) S000006339","","2","7869 (2) S000006339","additional_gene_association","false","2","7869 (2) S000006339"
"35267","9212 (3) 9363","","3","9212 (3) 9363","additional_parent_of","false","3","9212 (3) 9363"
"35618","9351 (4) S000000634","","4","9351 (4) S000000634","additional_gene_association","false","4","9351 (4) S000000634"
"23022","5930 (2) S000001353","","2","5930 (2) S000001353","additional_gene_association","false","2","5930 (2) S000001353"
"27235","9113 (2) S000000064","","2","9113 (2) S000000064","additional_gene_association","false","2","9113 (2) S000000064"
"42561","7380 (2) S000000364","","2","7380 (2) S000000364","additional_gene_association","false","2","7380 (2) S000000364"
"10303","6004 (pp) 5246","","pp","6004 (pp) 5246","parent_of","false","pp","6004 (pp) 5246"
"20444","8088 (2) S000003619","","2","8088 (2) S000003619","additional_gene_association","false","2","8088 (2) S000003619"
"17233","6851 (pp) S000004393","","pp","6851 (pp) S000004393","gene_association","false","pp","6851 (pp) S000004393"
"25943","6920 (4) S000001745","","4","6920 (4) S000001745","additional_gene_association","false","4","6920 (4) S000001745"
"21041","5937 (2) S000004255","","2","5937 (2) S000004255","additional_gene_association","false","2","5937 (2) S000004255"
"19214","9351 (1) 9076","","1","9351 (1) 9076","additional_parent_of","false","1","9351 (1) 9076"
"16393","9037 (pp) S000003598","","pp","9037 (pp) S000003598","gene_association","false","pp","9037 (pp) S000003598"
"40490","5850 (2) S000000360","","2","5850 (2) S000000360","additional_gene_association","false","2","5850 (2) S000000360"
"39202","8704 (2) S000003010","","2","8704 (2) S000003010","additional_gene_association","false","2","8704 (2) S000003010"
"24301","8817 (2) S000000263","","2","8817 (2) S000000263","additional_gene_association","false","2","8817 (2) S000000263"
"20135","9816 (4) S000000564","","4","9816 (4) S000000564","additional_gene_association","false","4","9816 (4) S000000564"
"21411","8957 (2) S000002789","","2","8957 (2) S000002789","additional_gene_association","false","2","8957 (2) S000002789"
"17954","8227 (pp) S000002876","","pp","8227 (pp) S000002876","gene_association","false","pp","8227 (pp) S000002876"
"23025","6305 (2) S000001900","","2","6305 (2) S000001900","additional_gene_association","false","2","6305 (2) S000001900"
"13764","7547 (pp) S000001626","","pp","7547 (pp) S000001626","gene_association","false","pp","7547 (pp) S000001626"
"31496","8032 (2) S000005596","","2","8032 (2) S000005596","additional_gene_association","false","2","8032 (2) S000005596"
"34327","5936 (2) S000001924","","2","5936 (2) S000001924","additional_gene_association","false","2","5936 (2) S000001924"
"16475","7397 (pp) S000003407","","pp","7397 (pp) S000003407","gene_association","false","pp","7397 (pp) S000003407"
"13109","5452 (pp) S000003209","","pp","5452 (pp) S000003209","gene_association","false","pp","5452 (pp) S000003209"
"10345","8198 (pp) S000005266","","pp","8198 (pp) S000005266","gene_association","false","pp","8198 (pp) S000005266"
"10450","9074 (pp) 7522","","pp","9074 (pp) 7522","parent_of","false","pp","9074 (pp) 7522"
"28432","6644 (2) S000000350","","2","6644 (2) S000000350","additional_gene_association","false","2","6644 (2) S000000350"
"36202","9295 (4) S000005005","","4","9295 (4) S000005005","additional_gene_association","false","4","9295 (4) S000005005"
"17096","6910 (pp) 6887","","pp","6910 (pp) 6887","parent_of","false","pp","6910 (pp) 6887"
"11239","8259 (pp) 7205","","pp","8259 (pp) 7205","parent_of","false","pp","8259 (pp) 7205"
"20309","8424 (2) S000006249","","2","8424 (2) S000006249","additional_gene_association","false","2","8424 (2) S000006249"
"12172","9216 (pp) 8700","conflict","pp","9216 (pp) 8700","parent_of","false","pp","9216 (pp) 8700"
"34375","6811 (2) S000005046","","2","6811 (2) S000005046","additional_gene_association","false","2","6811 (2) S000005046"
"32720","8715 (2) S000004155","","2","8715 (2) S000004155","additional_gene_association","false","2","8715 (2) S000004155"
"21410","8957 (2) S000002633","","2","8957 (2) S000002633","additional_gene_association","false","2","8957 (2) S000002633"
"41188","9749 (2) S000003360","","2","9749 (2) S000003360","additional_gene_association","false","2","9749 (2) S000003360"
"18093","8678 (pp) 8125","","pp","8678 (pp) 8125","parent_of","false","pp","8678 (pp) 8125"
"34009","8779 (2) S000000467","","2","8779 (2) S000000467","additional_gene_association","false","2","8779 (2) S000000467"
"14739","5353 (pp) S000004355","","pp","5353 (pp) S000004355","gene_association","false","pp","5353 (pp) S000004355"
"12598","8580 (pp) S000005022","","pp","8580 (pp) S000005022","gene_association","false","pp","8580 (pp) S000005022"
"43673","9238 (2) S000005011","","2","9238 (2) S000005011","additional_gene_association","false","2","9238 (2) S000005011"
"21682","6987 (4) S000005684","","4","6987 (4) S000005684","additional_gene_association","false","4","6987 (4) S000005684"
"37821","9430 (4) S000004008","","4","9430 (4) S000004008","additional_gene_association","false","4","9430 (4) S000004008"
"40265","9668 (4) S000006076","","4","9668 (4) S000006076","additional_gene_association","false","4","9668 (4) S000006076"
"20983","9496 (4) S000004352","","4","9496 (4) S000004352","additional_gene_association","false","4","9496 (4) S000004352"
"19591","9471 (1) 8200","","1","9471 (1) 8200","additional_parent_of","false","1","9471 (1) 8200"
"42048","9047 (2) S000000450","","2","9047 (2) S000000450","additional_gene_association","false","2","9047 (2) S000000450"
"30703","8539 (2) S000000951","","2","8539 (2) S000000951","additional_gene_association","false","2","8539 (2) S000000951"
"12147","7565 (pp) S000001474","","pp","7565 (pp) S000001474","gene_association","false","pp","7565 (pp) S000001474"
"28217","7980 (4) S000007251","","4","7980 (4) S000007251","additional_gene_association","false","4","7980 (4) S000007251"
"26571","9115 (2) S000000451","","2","9115 (2) S000000451","additional_gene_association","false","2","9115 (2) S000000451"
"18802","8358 (1) 5982","","1","8358 (1) 5982","additional_parent_of","false","1","8358 (1) 5982"
"34567","9486 (2) S000003726","","2","9486 (2) S000003726","additional_gene_association","false","2","9486 (2) S000003726"
"28327","8924 (2) S000005141","","2","8924 (2) S000005141","additional_gene_association","false","2","8924 (2) S000005141"
"42340","9030 (2) S000006087","","2","9030 (2) S000006087","additional_gene_association","false","2","9030 (2) S000006087"
"12573","5302 (pp) S000000475","","pp","5302 (pp) S000000475","gene_association","false","pp","5302 (pp) S000000475"
"21088","7567 (2) S000006388","","2","7567 (2) S000006388","additional_gene_association","false","2","7567 (2) S000006388"
"16608","7765 (pp) S000001385","","pp","7765 (pp) S000001385","gene_association","false","pp","7765 (pp) S000001385"
"9344","8013 (pp) S000000024","","pp","8013 (pp) S000000024","gene_association","false","pp","8013 (pp) S000000024"
"13653","9745 (pp) 9367","","pp","9745 (pp) 9367","parent_of","false","pp","9745 (pp) 9367"
"43662","9238 (2) S000006141","","2","9238 (2) S000006141","additional_gene_association","false","2","9238 (2) S000006141"
"33536","9186 (2) S000005481","","2","9186 (2) S000005481","additional_gene_association","false","2","9186 (2) S000005481"
"20431","7910 (2) S000005197","","2","7910 (2) S000005197","additional_gene_association","false","2","7910 (2) S000005197"
"38507","8301 (2) S000002940","","2","8301 (2) S000002940","additional_gene_association","false","2","8301 (2) S000002940"
"12612","9453 (pp) 8533","","pp","9453 (pp) 8533","parent_of","false","pp","9453 (pp) 8533"
"24752","8580 (2) S000004575","","2","8580 (2) S000004575","additional_gene_association","false","2","8580 (2) S000004575"
"10605","8509 (pp) S000004769","","pp","8509 (pp) S000004769","gene_association","false","pp","8509 (pp) S000004769"
"39084","6221 (4) S000002552","","4","6221 (4) S000002552","additional_gene_association","false","4","6221 (4) S000002552"
"31489","7724 (4) S000003495","","4","7724 (4) S000003495","additional_gene_association","false","4","7724 (4) S000003495"
"14051","7820 (pp) S000002865","","pp","7820 (pp) S000002865","gene_association","false","pp","7820 (pp) S000002865"
"42001","9046 (2) S000005742","","2","9046 (2) S000005742","additional_gene_association","false","2","9046 (2) S000005742"
"37607","8591 (2) S000000935","","2","8591 (2) S000000935","additional_gene_association","false","2","8591 (2) S000000935"
"35870","8606 (2) S000003058","","2","8606 (2) S000003058","additional_gene_association","false","2","8606 (2) S000003058"
"33349","9500 (4) S000002233","","4","9500 (4) S000002233","additional_gene_association","false","4","9500 (4) S000002233"
"29315","6158 (2) S000006144","","2","6158 (2) S000006144","additional_gene_association","false","2","6158 (2) S000006144"
"9722","6778 (pp) S000001101","","pp","6778 (pp) S000001101","gene_association","false","pp","6778 (pp) S000001101"
"21223","8281 (2) S000004887","","2","8281 (2) S000004887","additional_gene_association","false","2","8281 (2) S000004887"
"28754","7302 (4) S000004061","","4","7302 (4) S000004061","additional_gene_association","false","4","7302 (4) S000004061"
"21430","8957 (2) S000001259","","2","8957 (2) S000001259","additional_gene_association","false","2","8957 (2) S000001259"
